StoreId	Amount	Notification
01-10181004	5	
01-13161015	0	
01-13181011	63	
01-24122107	65	
01-24181088	107	
01-24181094	0	
01-24182104	30	
01-24182110	0	
01-24683012	0	
01-24683043	0	
01-24683049	0	
01-27181021	20	
01-31181012	8	
01-40122019	11	
01-40173018	7	
01-45173008	5	
01-45173010	1	
01-45181008	2	
01-55173019	0	
01-55181029	230	
01-55181030	0	
01-55323008	56	
01-58181023	6	
01-64023038	46	
01-65181017	0	
01-65181022	0	
01-65181039	52	
01-65181040	92	
01-65182002	2	
01-65182009	0	
01-65182021	1	
01-65182028	21	
01-65182029	2	
01-70612029	18	
01-86687018	0	
01-86687035	14	
01-90800455	0	
