ordernumber;mainnumber;categoryId
5501.000;5501.000;5
5501.002;5501.002;5
1105.039;1105.039;5
1105.039;1105.039;96
5145.000;5145.000;178
5145.000;5145.000;179
5501.000;5501.000;190
5501.002;5501.002;190
65181009;65181009;4
65181008;65181008;4
45173006;45173006;4
65182009;65182009;4
24276013;24276013;4
55181030;55181030;9
55181029;55181029;9
65181009;65181009;
65181008;65181008;
65182009;65182009;
55181029;55181029;17
55181030;55181030;17
29182004;29182004;17
45173006;45173006;17
29181017;29181017;17
65182009;65182009;17
65181008;65181008;17
65181009;65181009;17
24129094;24129094;20
29182004;29182004;24
29181017;29181017;24
45173006;45173006;31
55181030;55181030;35
55181029;55181029;35
65182009;65182009;39
65181008;65181008;39
65181009;65181009;39
24129094;24129094;10
24129094;24129094;51
24276013;24276013;11
24276013;24276013;66
90014037;90014037;13
90014037;90014037;74
24276013;24276013;79
80500046;80500046;6
80500045;80500045;6
80500044;80500044;6
80500042;80500042;6
80500039;80500039;6
90800349;90800349;193
90800349;90800349;204
80500046;80500046;197
80500045;80500045;197
80500044;80500044;197
80500042;80500042;197
80500039;80500039;197
29181017;29181017;8
24276013;24276013;8
98810199;98810199;7
98810199;98810199;208
