ordernumber;mainnumber;categoryId
2013.012;2013.012;5
4405.042;4405.042;5
4191.099;4191.099;5
3023.042;3023.042;5
5005.144;5005.144;5
5425.054;5425.054;5
4095.021;4095.021;5
5115.065;5115.065;5
2015.085;2015.085;5
1555.066;1555.066;5
1105.039;1105.039;5
1121.023;1121.023;5
5429.025;5429.025;5
5429.023;5429.023;5
1565.069;1565.069;5
9605.305;9605.305;5
4025.053;4025.053;5
4021.197;4021.197;5
5213.156;5213.156;5
5113.106;5113.106;5
5113.108;5113.108;5
3511.021;3511.021;5
3511.022;3511.022;5
5113.116;5113.116;5
5171.094;5171.094;5
5171.092;5171.092;5
5171.027;5171.027;5
5171.091;5171.091;5
4055.008;4055.008;5
3741.050;3741.050;5
3305.014;3305.014;5
5334.000;5334.000;5
5331.030;5331.030;5
5331.032;5331.032;5
5331.031;5331.031;5
5331.029;5331.029;5
5331.015;5331.015;5
5331.028;5331.028;5
5333.041;5333.041;5
5331.027;5331.027;5
5331.026;5331.026;5
5331.011;5331.011;5
5333.040;5333.040;5
5331.024;5331.024;5
5331.023;5331.023;5
5339.020;5339.020;5
5339.008;5339.008;5
5331.020;5331.020;5
5331.019;5331.019;5
5333.035;5333.035;5
5333.030;5333.030;5
5333.036;5333.036;5
5333.034;5333.034;5
5333.031;5333.031;5
5333.039;5333.039;5
5333.038;5333.038;5
5333.032;5333.032;5
5333.033;5333.033;5
5333.037;5333.037;5
5335.003;5335.003;5
5333.027;5333.027;5
5333.026;5333.026;5
5333.028;5333.028;5
5333.022;5333.022;5
5333.025;5333.025;5
5333.024;5333.024;5
5333.023;5333.023;5
5333.029;5333.029;5
5333.020;5333.020;5
5333.021;5333.021;5
5333.015;5333.015;5
5333.011;5333.011;5
5333.016;5333.016;5
5333.014;5333.014;5
5333.010;5333.010;5
5333.019;5333.019;5
5333.018;5333.018;5
5333.012;5333.012;5
5333.013;5333.013;5
5333.017;5333.017;5
5333.008;5333.008;5
5333.007;5333.007;5
5333.009;5333.009;5
5333.005;5333.005;5
5333.004;5333.004;5
5333.006;5333.006;5
5005.049;5005.049;5
4015.006;4015.006;5
4015.003;4015.003;5
4015.000;4015.000;5
1105.032;1105.032;5
4029.038;4029.038;5
5425.016;5425.016;5
2113.003;2113.003;5
1681.104;1681.104;5
1691.014;1691.014;5
1683.031;1683.031;5
1681.097;1681.097;5
1684.012;1684.012;5
1681.099;1681.099;5
2338.000;2338.000;5
1683.019;1683.019;5
1681.114;1681.114;5
1683.016;1683.016;5
1683.018;1683.018;5
1681.095;1681.095;5
1683.020;1683.020;5
1682.014;1682.014;5
1863.225;1863.225;5
1863.224;1863.224;5
1863.223;1863.223;5
1863.226;1863.226;5
1863.221;1863.221;5
1863.220;1863.220;5
1863.222;1863.222;5
1863.230;1863.230;5
1863.229;1863.229;5
1863.228;1863.228;5
1863.233;1863.233;5
1863.232;1863.232;5
1863.231;1863.231;5
1863.227;1863.227;5
1861.125;1861.125;5
1861.124;1861.124;5
1861.123;1861.123;5
1861.126;1861.126;5
1861.121;1861.121;5
1861.120;1861.120;5
1861.122;1861.122;5
1861.130;1861.130;5
1861.129;1861.129;5
1861.128;1861.128;5
1861.133;1861.133;5
1861.132;1861.132;5
1861.131;1861.131;5
1861.127;1861.127;5
1562.027;1562.027;5
5101.237;5101.237;5
5111.154;5111.154;5
5113.067;5113.067;5
5213.116;5213.116;5
1863.212;1863.212;5
1863.211;1863.211;5
1863.214;1863.214;5
1863.215;1863.215;5
1863.210;1863.210;5
1863.218;1863.218;5
1863.217;1863.217;5
1863.213;1863.213;5
1863.219;1863.219;5
1863.216;1863.216;5
1861.112;1861.112;5
1861.111;1861.111;5
1861.114;1861.114;5
1861.115;1861.115;5
1861.110;1861.110;5
1861.118;1861.118;5
1861.117;1861.117;5
1861.113;1861.113;5
1861.119;1861.119;5
1861.116;1861.116;5
1863.202;1863.202;5
1863.201;1863.201;5
1863.205;1863.205;5
1863.206;1863.206;5
1863.209;1863.209;5
1863.208;1863.208;5
1863.203;1863.203;5
1863.204;1863.204;5
1863.207;1863.207;5
1861.102;1861.102;5
1861.101;1861.101;5
1861.105;1861.105;5
1861.106;1861.106;5
1861.109;1861.109;5
1861.108;1861.108;5
1861.103;1861.103;5
1861.104;1861.104;5
1861.000;1861.000;5
5101.011;5101.011;5
5111.141;5111.141;5
1893.009;1893.009;5
5103.130;5103.130;5
5103.241;5103.241;5
5103.240;5103.240;5
5103.239;5103.239;5
5101.238;5101.238;5
3695.000;3695.000;5
3514.033;3514.033;5
4029.053;4029.053;5
2193.000;2193.000;5
2123.001;2123.001;5
1643.001;1643.001;5
1643.078;1643.078;5
1555.067;1555.067;5
1664.004;1664.004;5
2229.010;2229.010;5
2229.003;2229.003;5
1591.151;1591.151;5
1523.043;1523.043;5
1523.042;1523.042;5
1135.000;1135.000;5
1131.002;1131.002;5
5113.151;5113.151;5
5111.096;5111.096;5
5111.079;5111.079;5
5111.069;5111.069;5
5111.065;5111.065;5
5111.058;5111.058;5
1891.012;1891.012;5
1891.009;1891.009;5
1891.007;1891.007;5
5143.068;5143.068;5
5143.067;5143.067;5
4401.019;4401.019;5
2221.011;2221.011;5
127.621;127.621;5
126.653;126.653;5
125.943;125.943;5
125.774;125.774;5
125.186;125.186;5
125.168;125.168;5
125.169;125.169;5
125.166;125.166;5
125.167;125.167;5
125.164;125.164;5
125.162;125.162;5
125.165;125.165;5
125.010;125.010;5
125.013;125.013;5
125.011;125.011;5
125.012;125.012;5
124.660;124.660;5
1661.001;1661.001;5
1681.002;1681.002;5
1597.003;1597.003;5
1591.075;1591.075;5
1591.070;1591.070;5
1591.072;1591.072;5
1591.073;1591.073;5
1591.077;1591.077;5
1591.011;1591.011;5
1599.007;1599.007;5
1552.041;1552.041;5
1552.043;1552.043;5
1552.022;1552.022;5
1551.078;1551.078;5
1123.045;1123.045;5
1123.044;1123.044;5
1105.039;1105.039;96
1135.000;1135.000;96
1123.114;1123.114;96
1123.058;1123.058;96
1123.057;1123.057;96
1123.092;1123.092;96
1131.002;1131.002;96
1143.029;1143.029;96
1123.045;1123.045;96
1123.044;1123.044;96
1125.025;1125.025;118
1105.032;1105.032;118
1123.114;1123.114;118
1123.058;1123.058;118
1123.057;1123.057;118
1123.092;1123.092;118
1123.044;1123.044;118
1123.045;1123.045;118
1135.000;1135.000;119
1131.002;1131.002;119
1143.029;1143.029;120
1265.000;1265.000;129
1105.032;1105.032;130
1555.066;1555.066;97
1121.023;1121.023;97
1565.069;1565.069;97
1615.014;1615.014;97
1691.014;1691.014;97
1683.031;1683.031;97
1681.097;1681.097;97
1684.012;1684.012;97
1681.099;1681.099;97
1683.019;1683.019;97
1681.114;1681.114;97
1683.016;1683.016;97
1683.018;1683.018;97
1681.095;1681.095;97
1683.020;1683.020;97
1682.014;1682.014;97
1562.027;1562.027;97
1563.118;1563.118;97
1891.012;1891.012;97
1893.009;1893.009;97
1891.009;1891.009;97
1542.029;1542.029;97
1564.203;1564.203;97
1564.009;1564.009;97
1555.065;1555.065;97
1555.067;1555.067;97
1523.043;1523.043;97
1523.042;1523.042;97
1591.151;1591.151;97
1545.014;1545.014;97
1565.116;1565.116;97
1552.022;1552.022;97
1552.041;1552.041;97
1552.043;1552.043;97
1551.078;1551.078;97
1591.077;1591.077;97
1522.026;1522.026;131
1522.027;1522.027;131
1522.028;1522.028;131
1522.038;1522.038;131
1522.025;1522.025;131
1522.024;1522.024;131
1522.022;1522.022;131
1522.021;1522.021;131
1522.020;1522.020;131
1522.019;1522.019;131
1542.029;1542.029;132
1555.065;1555.065;132
1551.078;1551.078;132
1552.022;1552.022;132
1552.043;1552.043;132
1552.041;1552.041;132
1562.027;1562.027;133
1563.118;1563.118;133
1564.009;1564.009;133
1564.203;1564.203;133
1565.069;1565.069;133
1591.077;1591.077;133
1691.014;1691.014;133
1891.007;1891.007;133
1891.009;1891.009;133
1891.012;1891.012;133
1893.006;1893.006;133
1893.007;1893.007;133
1893.009;1893.009;133
1545.013;1545.013;135
1545.012;1545.012;135
1545.011;1545.011;135
1555.065;1555.065;135
1565.116;1565.116;135
1551.078;1551.078;136
1592.000;1592.000;102
1591.011;1591.011;102
1599.007;1599.007;102
1597.003;1597.003;102
1591.077;1591.077;102
1591.075;1591.075;102
1591.072;1591.072;102
1591.073;1591.073;102
1591.070;1591.070;102
1863.225;1863.225;102
1863.224;1863.224;102
1863.223;1863.223;102
1863.222;1863.222;102
1863.221;1863.221;102
1863.226;1863.226;102
