dugId;swId;Title
000062;179;Euromünzen
000063;189;"2 Euro Münzen"
000093;190;"Deutschland vor 2001"
000100;191;"Historische Münzen"
000169;192;"Gold und Silber"
000096;193;"Münzen aus aller Welt"
000099;194;"Banknoten - Aktien - Orden"
000136;195;"Besondere Münzen & Kollektionen"
000228;196;"Euro Kursmünzensätze"
000204;197;Andorra
000068;198;Belgien
000069;199;Deutschland
000070;200;Estland
000074;201;Finnland
000075;202;Frankreich
000076;203;Griechenland
000078;204;Italien
000077;205;Irland
000167;206;Lettland
000216;207;Litauen
000079;208;Luxemburg
000080;209;Malta
000081;210;Monaco
000082;211;Niederlande
000083;212;Österreich
000084;213;Portugal
000085;214;"San Marino"
000086;215;Slowakei
000087;216;Slowenien
000088;217;Spanien
000089;218;Vatikan
000090;219;Zypern
000273;220;"5 Euro mit Polymer"
000091;221;"10 Euro Gedenkmünzen"
000176;222;"BRD Gold"
000229;223;"20 Euro Gedenkmünzen"
000210;224;"BRD 20 Euro Gold"
000211;225;"BRD 100 Euro Gold"
000064;226;"2 Euro Kursmünzen"
000065;227;"2 Euro Gedenkmünzen"
000145;228;"2 Euro Kleinstaaten"
000148;229;"2 Euro Münzen veredelt"
000225;230;"Jahrgang 2018"
000226;231;"Jahrgang 2017"
000227;232;"Jahrgang 2016"
000224;233;"Jahrgang 2015"
000208;234;"Jahrgang 2014"
000155;235;"Jahrgang 2013"
000066;236;"Jahrgang 2012"
000073;237;"Jahrgang 2010"
000119;238;"Jahrgang 2009"
000120;239;"Jahrgang 2008"
000131;240;"Jahrgang 2007"
000132;241;"Jahrgang 2006"
000133;242;"Jahrgang 2005"
000134;243;"Jahrgang 2004"
000101;244;BRD
000102;245;DDR
000103;246;"Drittes Reich"
000104;247;"Weimarer Republik"
000105;248;Kaiserreich
000106;249;Altdeutschland
000149;250;"Gedenkmünzen der DDR"
000170;251;Goldmünzen
000171;252;Goldbarren
000201;253;"Historische Goldmünzen"
000172;254;Gold-Preishits
000173;255;Silbermünzen
000174;256;Silberbarren
000202;257;"Historische Silbermünzen"
000175;258;Silber-Preishits
000214;259;"Barren aus Edelmetall"
000217;260;"Weitere Anlagemünzen"
000230;261;"Goldmünzen Deutschland"
000235;262;Kupferbarren
000231;263;"BRD 100 Euro Goldmünze"
000233;264;"BRD 20 Euro Goldmünze"
000097;265;Schweiz
000098;266;Vor-Euro
000137;267;Weltmünzensätze
000165;268;Goldfolien
000205;269;"Besondere Münzen"
000206;270;Kollektionen
000147;271;"Goldfolien 10 Jahre Euro-Bargeld"
000153;272;Württemberg
000287;273;Gold-Gedenkausgaben
000004;249;Altdeutschland
000005;275;"Deutsches Reich"
000152;276;"Reste & Schnäppchen"
000157;277;Raritäten
000156;278;Kiloware
000253;279;"Kollektionen und Sammlungen"
000307;280;"Deutsche Besetzungsausgaben 1939-1945"
000308;281;"Sonstige Gebiete"
000006;282;"Alliierte Besatzung"
000051;244;BRD
000007;245;DDR
000008;285;Berlin
000246;286;Saarland
000013;287;"Posten, Kollektionen"
000010;212;Österreich
000011;289;Liechtenstein
000012;290;"Alle Welt"
000254;291;Baden
000255;292;Bayern
000256;293;Bergedorf
